DAV_OBMAP v3 cell_size=10
-57 60 22 0
-57 59 22 0
-57 58 22 0
-55 63 22 0
-55 99 6 1
-90 90 6 0
-53 64 21 0
-54 64 21 0
-55 64 21 0
-56 60 21 0
-90 70 9 0
-60 83 5 1
-60 85 3 2
-58 73 4 1
-70 84 25 2
-60 57 12 1
-66 55 11 0
-62 57 9 2
-62 57 10 2
-62 57 11 2
-64 74 5 2
-64 74 6 2
-57 65 26 2
-52 51 8 1
-51 75 23 1
-73 88 15 0
-76 86 14 0
-56 90 28 2
-61 59 19 1
-53 65 18 0
-54 64 18 0
-55 64 18 0
-59 51 2 1
-58 52 2 1
-52 70 11 1
-62 94 31 0
-88 86 8 0
-90 88 8 0
-89 86 8 0
-88 87 8 0
-73 95 10 2
-73 95 9 2
-73 95 8 2
-74 91 16 1
-74 91 15 1
-74 90 16 2
-74 90 15 2
-74 89 16 1
-74 89 15 1
-69 94 14 0
-79 52 9 0
-78 51 3 0
-55 77 33 0
-56 79 33 0
-59 64 25 2
-81 98 18 0
-93 86 2 0
-56 99 5 2
-75 86 4 2
-89 97 9 0
-58 63 8 1
-100 88 2 0
-64 98 8 1
-74 59 27 2
-74 58 27 1
-75 58 27 1
-100 98 8 0
-100 97 8 0
-100 50 12 0
-83 88 13 0
-68 74 34 1
-67 74 32 1
-67 74 33 1
-67 74 34 1
-82 98 23 0
-66 82 9 2
-76 94 4 2
-93 81 10 0
-60 59 23 1
-61 59 23 1
-51 92 11 1
-51 98 25 2
-69 86 9 1
-73 60 16 1
-73 60 17 1
-71 93 26 1
-75 56 16 0
-52 81 19 2
-52 81 18 1
-71 93 24 1
-72 93 24 2
-67 69 22 1
-68 69 22 1
-76 98 33 0
-56 80 34 0
-77 62 16 1
-59 59 13 2
-90 83 10 0
-90 84 9 0
-74 94 12 1
-74 94 11 1
-74 94 10 1
-73 95 11 2
-72 97 10 0
-78 79 7 0
-78 79 6 0
-77 77 6 1
-60 88 36 0
-63 88 38 0
-53 88 18 1
-70 97 32 1
-67 61 22 0
-68 62 23 0
-71 63 22 1
-61 62 21 1
-61 62 22 1
-61 63 21 1
-61 63 22 1
-57 61 20 0
-89 72 12 0
-87 72 15 0
-83 74 16 0
-87 71 14 0
-59 94 41 0
-57 95 43 0
-78 75 23 0
-82 71 15 0
-89 71 14 0
-89 72 13 0
-90 72 13 0
-98 61 2 0
-95 63 2 0
-58 87 28 2
-58 87 27 2
-58 87 26 2
-58 87 25 2
-58 87 24 2
-58 87 23 2
-58 87 22 2
-58 87 15 2
-78 68 4 2
-78 68 5 2
-89 70 3 1
-95 95 9 0
-92 52 0 2
-73 96 5 1
-74 96 7 1
-74 96 6 1
-59 71 17 1
-59 71 18 1
-59 71 19 1
-62 71 20 1
-65 71 18 0
-66 67 8 0
-68 65 8 1
-61 87 5 2
-51 72 21 1
-51 72 20 1
-51 71 21 1
-51 71 20 1
-81 75 13 0
-100 56 11 0
-62 91 32 0
-58 63 17 1
-55 66 18 1
-69 72 35 0
-59 61 17 1
-68 72 34 1
-66 74 32 1
-66 74 33 1
-66 74 34 1
-69 73 37 0
-68 72 37 0
-90 88 0 1
-70 85 4 2
-69 92 18 0
-67 92 18 0
-68 91 21 0
-65 93 20 0
-64 92 18 0
-62 94 18 0
-78 97 11 2
-63 92 26 0
-86 68 10 0
-59 95 31 1
-61 94 30 0
-71 90 32 0
-52 95 8 2
-85 83 15 0
-54 68 27 1
-54 64 28 0
-56 66 28 1
-51 73 8 1
-51 74 8 1
-53 74 7 1
-57 97 4 1
-57 97 3 1
-89 81 0 2
-88 81 0 2
-54 81 24 1
-56 82 21 1
-69 84 26 1
-74 66 16 0
-76 69 17 0
-75 69 17 0
-74 68 17 0
-73 68 16 0
-78 59 15 0
-77 58 15 0
-61 97 22 1
-61 98 20 1
-58 59 15 2
-91 90 9 0
-87 89 10 0
-90 89 10 0
-92 94 11 0
-94 98 12 0
-94 98 11 0
-94 97 10 0
-94 97 9 0
-95 94 12 0
-78 97 33 0
-77 97 32 0
-75 99 34 0
-55 99 19 2
-71 98 27 0
-79 93 17 0
-95 79 10 0
-92 80 11 0
-92 76 4 0
-93 76 4 0
-100 60 12 0
-56 92 33 2
-56 92 34 1
-76 61 2 2
-61 52 15 0
-54 54 10 1
-54 54 9 2
-54 53 10 1
-63 56 13 1
-77 99 27 1
-74 94 25 1
-73 94 25 1
-73 95 25 2
-73 96 25 1
-72 94 25 2
-75 61 5 1
-63 53 0 1
-55 61 15 0
-73 81 2 1
-73 81 3 2
-61 99 12 2
-61 98 13 2
-61 98 12 1
-74 54 11 0
-65 81 16 2
-60 74 17 1
-60 75 17 1
-72 67 5 2
-71 88 3 1
-69 72 28 1
-64 83 23 1
-63 81 22 1
-64 88 38 0
-60 86 37 0
-65 89 36 0
-61 84 35 0
-61 88 31 0
-64 87 38 0
-65 90 34 0
-89 95 13 0
-83 67 7 0
-84 68 7 0
-73 65 22 1
-69 62 21 0
-56 69 5 1
-73 74 2 1
-73 73 3 2
-90 56 8 0
-76 51 6 0
-53 95 27 0
-86 63 8 0
-85 63 8 0
-51 51 17 2
-61 72 27 0
-63 85 15 0
-56 94 29 2
-59 93 30 0
-92 53 8 0
-91 52 9 0
-72 89 6 2
-72 85 34 0
-71 85 35 0
-68 61 1 1
-68 60 1 1
-79 95 6 1
-59 54 13 1
-58 66 6 1
-56 61 10 0
-59 63 11 1
-58 56 10 1
-66 79 31 1
-94 94 2 2
-66 70 13 1
-77 68 33 0
-76 70 33 0
-85 99 5 1
-75 71 6 0
-97 52 7 0
-96 51 8 0
-68 73 25 1
-67 68 24 0
-66 91 29 0
-71 71 22 1
-71 71 23 1
-71 72 22 1
-71 72 23 1
-71 73 22 1
-71 73 23 1
-81 63 0 1
-81 62 0 1
-80 62 2 2
-80 62 1 1
-80 61 2 2
-80 61 1 1
-80 60 2 2
-80 60 1 1
-81 62 1 1
-81 61 1 1
-65 63 25 1
-66 60 23 0
-65 61 24 0
-59 82 12 1
-59 81 12 1
-71 81 23 1
-72 81 25 1
-64 66 2 1
-64 65 2 1
-65 67 2 1
-66 80 15 1
-65 82 15 2
-52 96 20 0
-57 60 2 1
-57 59 2 1
-57 58 2 1
-56 59 9 1
-56 59 8 1
-66 99 23 2
-68 68 5 2
-53 54 8 1
-81 57 3 1
-84 56 2 0
-73 55 15 0
-67 96 42 0
-68 97 43 0
-79 87 13 0
-76 81 16 0
-68 77 36 0
-70 77 35 0
-88 72 11 0
-94 58 5 1
-94 58 4 2
-51 89 32 0
-51 89 31 0
-51 88 34 0
-52 89 33 0
-57 68 10 1
-57 68 9 1
-56 79 6 1
-56 80 6 1
-85 77 7 0
-73 90 7 2
-57 82 9 1
-55 76 4 2
-75 61 24 1
-79 63 16 0
-76 65 16 0
-76 78 2 2
-76 78 1 1
-77 62 34 0
-66 92 4 1
-58 75 7 2
-58 75 8 2
-58 75 9 1
-65 95 27 0
-62 92 25 0
-64 97 26 1
-73 73 16 1
-73 74 15 1
-72 93 9 2
-73 99 22 0
-63 85 34 0
-52 79 4 2
-95 50 0 2
-97 50 2 1
-95 50 1 2
-68 56 5 1
-78 73 2 2
-80 75 5 1
-95 53 0 2
-95 53 -1 1
-73 89 15 1
-95 51 0 2
-95 51 -1 1
-89 86 2 2
-96 97 -1 1
-97 98 1 1
-97 98 -1 1
-97 97 1 1
-97 97 0 2
-97 97 -1 1
-97 98 0 2
-65 81 27 1
-65 81 28 1
-62 89 4 2
-62 89 3 2
-62 89 2 1
-63 89 4 1
-86 88 4 1
-85 87 3 1
-73 71 2 1
-62 65 7 2
-63 65 5 1
-62 64 5 1
-59 66 3 1
-67 73 3 2
-65 96 4 1
-72 90 7 2
-72 90 8 2
-83 91 6 0
-85 90 7 0
-76 74 15 1
-76 74 14 1
-76 74 34 0
-78 73 34 0
-77 74 33 0
-78 72 33 0
-78 73 32 0
-72 96 39 0
-72 97 39 0
-59 84 12 1
-63 84 12 0
-64 81 14 2
-64 81 13 2
-96 81 5 0
-96 80 5 0
-73 86 13 0
-61 61 5 2
-60 59 3 2
-81 57 16 0
-65 87 11 0
-64 87 11 0
-70 90 11 0
-71 90 11 1
-52 90 12 1
-51 90 13 1
-57 96 15 1
-81 92 19 0
-56 75 14 2
-56 74 15 2
-56 74 14 1
-87 65 12 0
-87 65 13 0
-65 90 35 0
-63 86 32 0
-94 73 12 0
-97 96 7 0
-95 50 3 2
-86 93 2 1
-73 98 21 0
-66 84 22 1
-90 77 2 0
-89 77 2 0
-78 98 12 1
-61 89 20 2
-93 64 17 0
-59 53 5 2
-52 74 7 1
-91 67 2 1
-82 82 8 0
-62 81 5 2
