DAV_OBMAP v3 cell_size=10
44 103 22 0
42 102 21 1
38 118 26 0
9 100 20 0
10 101 20 0
10 107 20 1
12 113 21 1
12 113 19 2
12 112 21 1
12 112 20 2
12 112 19 2
11 103 24 0
10 103 25 0
11 112 21 1
11 113 19 2
11 113 20 1
11 113 21 1
11 114 19 2
11 114 20 1
11 114 21 1
42 120 29 0
26 109 28 0
28 107 29 0
31 108 28 0
30 122 21 0
25 119 22 0
26 120 21 0
33 124 22 0
32 124 22 0
31 108 29 0
30 118 22 1
29 120 22 0
30 122 22 0
30 106 29 0
36 131 17 1
36 130 17 1
0 144 14 0
33 134 19 1
33 135 19 1
47 122 23 1
48 122 21 1
48 122 22 2
48 122 23 1
48 123 21 1
28 134 19 0
25 106 28 0
28 108 28 0
29 105 29 0
21 135 21 0
22 135 20 0
32 138 18 2
28 136 20 0
26 136 19 0
23 140 21 0
24 140 21 0
42 123 23 1
0 122 18 0
0 108 17 0
46 114 25 0
11 142 18 0
10 141 18 0
9 140 18 0
14 143 18 0
39 127 20 1
39 127 21 2
39 128 19 1
39 128 20 2
39 128 21 2
39 129 19 1
39 129 20 2
39 129 21 1
36 131 22 0
26 131 15 2
26 131 16 1
26 132 14 1
26 132 15 2
26 132 16 1
26 133 14 1
26 133 15 2
37 131 21 1
34 134 21 0
36 137 21 0
36 137 18 2
36 137 19 1
34 133 17 2
34 133 16 1
34 133 18 2
34 134 16 1
35 132 16 1
35 132 17 2
35 132 18 2
35 133 16 1
35 134 16 1
19 137 14 1
19 137 15 1
20 137 13 1
20 137 14 2
48 112 23 0
23 106 27 0
25 107 25 0
25 107 24 0
28 107 22 2
28 107 21 2
28 107 20 1
28 106 20 1
32 128 16 1
36 138 19 1
36 138 18 2
36 138 17 1
34 129 20 0
34 130 20 0
31 129 21 0
44 134 19 1
44 133 20 1
44 133 19 1
44 132 20 1
44 132 19 1
43 134 20 2
43 134 19 1
43 133 19 1
43 132 20 2
43 132 19 1
42 134 20 2
42 134 19 1
42 133 21 1
42 133 20 2
33 125 22 0
28 114 19 1
28 113 19 1
28 112 19 1
27 114 19 2
26 114 21 1
26 114 20 1
26 114 19 2
25 114 22 0
26 117 24 0
27 116 24 0
27 115 24 0
28 115 25 0
24 113 25 0
29 116 25 0
28 111 26 0
25 116 26 0
28 114 25 0
30 116 26 0
26 112 27 0
3 109 19 0
2 108 20 0
2 107 20 0
11 109 16 1
15 112 26 0
18 116 26 0
43 141 22 0
42 139 22 0
39 120 26 0
40 119 20 1
38 122 23 0
39 121 25 0
40 123 27 0
38 121 26 0
39 119 20 1
41 119 26 0
40 139 21 0
7 118 14 1
7 119 14 1
20 110 23 0
18 108 22 0
17 108 22 0
19 141 15 2
19 141 14 1
19 140 15 2
19 140 14 1
46 118 24 0
49 122 24 0
23 113 23 0
26 107 22 1
3 103 19 0
3 103 18 0
3 102 19 0
3 102 18 0
2 103 19 0
45 118 23 1
46 117 21 2
46 117 22 2
46 117 23 1
46 118 21 1
46 118 23 1
47 117 21 2
47 117 22 1
47 117 23 1
47 118 21 1
47 118 22 2
30 119 22 1
39 126 22 1
46 115 23 0
3 124 14 1
3 123 15 1
0 125 17 0
7 110 15 2
7 110 16 1
8 110 14 1
9 110 14 1
4 110 15 1
6 110 13 1
6 110 14 2
6 110 15 1
7 110 13 1
8 110 13 1
5 109 13 2
5 109 14 2
5 109 15 1
5 107 18 0
0 147 14 0
0 148 14 0
21 100 18 1
