DAV_OBMAP v3 cell_size=10
117 -42 5 0
117 -42 6 0
116 -42 5 0
116 -41 5 0
116 -43 6 0
116 -42 6 0
116 -43 5 0
115 -42 5 0
115 -42 6 0
114 -43 5 0
114 -43 6 0
115 -44 5 0
115 -44 6 0
116 -43 7 0
109 -44 4 0
108 -44 3 0
108 -44 4 0
108 -46 3 0
107 -46 3 0
108 -46 4 0
107 -46 4 0
109 -46 5 0
108 -47 0 1
108 -46 0 1
108 -45 0 1
109 -47 0 1
109 -46 0 1
109 -45 0 1
110 -47 0 1
110 -46 0 1
110 -45 0 1
109 -44 5 0
109 -44 1 1
108 -43 0 1
108 -44 0 1
112 -44 5 1
112 -44 6 1
112 -43 5 1
112 -43 6 1
112 -42 4 1
112 -42 5 1
112 -42 6 1
111 -44 1 1
111 -43 1 1
111 -42 1 1
112 -44 1 1
112 -43 1 1
112 -42 1 1
112 -42 2 1
112 -42 3 1
109 -42 4 0
108 -42 3 0
108 -41 3 0
111 -48 1 1
108 -42 4 0
107 -42 3 0
107 -42 4 0
106 -43 3 0
106 -43 4 0
107 -45 3 0
107 -45 4 0
113 -40 5 0
113 -40 6 0
112 -41 5 0
113 -41 6 0
112 -41 6 0
113 -43 5 0
113 -43 6 0
114 -41 7 0
114 -41 2 1
113 -42 1 1
113 -41 1 1
113 -40 1 1
114 -40 1 1
115 -40 1 1
109 -48 1 1
110 -49 2 3
110 -49 5 0
109 -48 4 0
111 -48 4 0
113 -48 4 1
111 -43 5 1
111 -44 6 1
111 -43 6 1
111 -42 6 1
113 -48 3 1
110 -50 3 0
109 -50 4 0
113 -48 2 1
112 -48 2 1
105 -37 3 0
104 -36 3 0
103 -39 -1 1
104 -36 4 0
103 -36 3 0
103 -35 3 0
102 -39 3 0
103 -36 4 0
102 -37 3 0
102 -36 3 0
102 -37 4 0
102 -36 4 0
101 -37 3 0
101 -37 4 0
102 -38 3 0
102 -38 4 0
103 -38 4 0
103 -37 5 0
103 -37 0 1
102 -38 -1 1
102 -37 -1 1
102 -36 -1 1
103 -37 -1 1
103 -36 -1 1
104 -37 -1 1
104 -36 -1 1
110 -44 3 0
110 -44 4 0
110 -43 3 0
110 -43 4 0
109 -43 3 0
109 -42 3 0
109 -43 4 0
107 -43 3 0
103 -35 4 0
109 -41 3 0
108 -41 4 0
107 -41 3 0
107 -40 3 0
101 -36 3 0
107 -41 4 0
107 -40 4 0
106 -41 3 0
106 -41 4 0
106 -42 3 0
105 -42 3 0
106 -42 4 0
105 -42 4 0
106 -44 3 0
107 -42 5 0
107 -42 1 1
106 -43 0 1
106 -42 0 1
106 -41 0 1
107 -41 0 1
108 -41 0 1
108 -50 3 0
112 -49 4 0
108 -50 4 0
107 -50 4 0
107 -50 3 0
109 -38 7 0
109 -38 4 0
109 -38 3 0
109 -38 5 0
107 -36 5 0
107 -35 5 0
107 -36 6 0
107 -35 6 0
106 -36 5 0
107 -37 6 0
106 -36 6 0
106 -37 5 0
105 -37 5 0
106 -37 6 0
105 -37 6 0
106 -39 5 0
106 -38 6 0
107 -39 6 0
107 -37 7 0
107 -37 4 0
107 -37 3 0
106 -35 5 0
106 -35 6 0
105 -36 5 0
104 -35 5 0
105 -36 6 0
104 -35 6 0
104 -37 5 0
104 -37 6 0
104 -38 5 0
104 -38 6 0
106 -38 5 0
106 -37 7 0
106 -37 4 0
120 -50 5 0
120 -50 6 0
119 -50 5 0
119 -50 6 0
105 -35 5 0
105 -34 5 0
105 -35 6 0
105 -34 6 0
104 -34 5 0
104 -34 6 0
103 -35 5 0
103 -34 5 0
103 -35 6 0
103 -34 6 0
103 -36 5 0
103 -36 6 0
102 -36 6 0
