DAV_OBMAP v3 cell_size=10
-48 291 3 0
-47 292 3 0
-46 286 0 1
-46 286 1 2
-46 286 2 1
-45 286 0 1
-45 286 1 1
-45 286 2 1
-44 286 0 1
-44 286 1 1
-44 286 2 1
-46 289 -1 1
-46 290 -1 1
-46 290 0 1
-46 290 1 1
-47 299 2 1
-46 299 1 1
-46 299 2 1
-50 299 3 0
-49 296 2 1
-50 296 2 1
-46 297 2 1
-46 297 1 1
-46 297 0 1
-46 296 2 1
-47 298 0 1
-50 282 7 0
-49 282 8 0
-50 291 4 0
-50 288 3 0
-49 288 3 0
-48 288 3 0
-47 288 2 0
-50 277 1 1
-46 278 2 0
-47 276 4 0
-48 276 4 0
-46 280 5 0
-47 253 7 0
-46 278 4 0
-47 279 4 0
-48 280 4 0
-45 283 5 0
-48 288 6 0
-49 287 5 0
-50 277 9 0
-49 281 5 0
-49 275 8 0
-49 277 6 0
-47 276 7 0
-47 278 5 0
-48 275 4 0
-47 277 3 0
-49 275 2 1
-49 275 3 1
-50 274 8 0
-50 274 9 0
-50 277 7 0
-48 274 7 1
-48 277 5 0
-47 277 5 0
-47 275 3 0
-49 275 7 1
-48 275 5 0
-47 276 6 0
-50 272 2 1
-49 270 4 1
-49 270 5 1
-49 270 6 1
-49 271 6 1
-48 270 4 1
-48 270 5 1
-48 270 6 1
-48 271 4 1
-48 271 5 1
-48 271 6 1
-49 271 7 0
-48 272 7 1
-48 273 7 1
-47 272 7 1
-46 286 4 0
-45 286 5 0
-47 283 4 0
-46 282 4 0
-47 288 3 0
-46 289 3 0
-46 285 2 1
-45 285 2 1
-49 280 0 1
-49 281 0 1
-49 282 0 1
-48 280 0 1
-48 280 1 2
-48 280 2 2
-48 281 0 1
-50 280 2 2
-50 276 6 1
-50 250 4 1
-47 297 1 2
-47 297 0 1
-47 296 2 1
-47 295 2 1
-50 277 4 1
-50 291 6 0
-50 280 8 0
-50 281 8 0
-50 254 13 0
-50 252 11 0
-50 255 9 0
-49 256 10 0
-49 256 11 0
-49 254 9 0
-50 258 9 0
-48 255 8 0
-49 253 8 0
-48 251 8 0
-50 256 7 0
-49 257 7 0
-48 258 7 0
-50 268 6 1
-49 267 4 1
-49 267 5 1
-49 267 6 1
-49 268 4 1
-49 268 5 1
-49 268 6 1
-50 292 6 0
-49 290 5 0
-48 292 4 0
-50 269 8 0
-49 292 6 0
-48 291 4 0
-47 291 4 0
-48 287 3 0
-47 289 1 1
-48 291 6 0
-48 290 4 0
-47 290 4 0
-48 286 3 0
-50 289 6 0
-49 286 7 0
-48 256 11 0
-49 255 10 0
-49 251 12 0
-50 252 10 0
-49 288 5 0
-48 288 5 0
-47 288 5 0
-50 254 12 0
-46 281 2 1
-47 274 6 1
-47 292 1 1
-47 292 0 1
-47 292 -1 1
-47 291 1 1
-48 277 2 1
-46 280 2 0
-47 277 4 0
-50 274 7 1
-50 274 6 2
-50 273 5 1
-50 278 3 2
-48 274 6 1
-49 284 7 0
-45 286 -1 1
-46 286 -1 1
-47 286 -1 1
-47 282 0 1
-47 281 2 1
-47 281 1 1
-47 281 0 1
-47 280 2 1
-47 280 1 1
-47 280 0 1
-48 282 0 1
-48 257 6 1
-50 266 6 1
-50 266 5 1
-50 266 4 1
-50 265 6 1
-50 265 5 1
-50 265 4 1
-50 267 6 1
-50 267 5 1
-50 267 4 1
-49 270 8 0
-50 270 7 0
-50 273 8 0
-49 269 6 1
-49 269 5 1
-49 269 4 1
-50 269 6 1
-50 269 4 1
-47 274 7 1
-47 273 7 1
-50 278 1 1
-50 279 1 1
-50 279 2 1
-50 279 3 2
-47 280 5 0
-48 280 5 0
-50 291 1 2
-49 288 7 0
-49 284 6 0
-48 284 7 0
-45 285 1 1
-45 285 0 1
-46 285 1 2
-46 285 0 1
-47 279 2 1
-47 279 1 1
-47 279 0 1
-48 279 2 2
-48 279 1 1
-48 279 0 1
-49 279 0 1
-45 283 2 0
-50 283 2 2
-48 272 3 1
-49 290 3 0
-50 289 4 0
-50 286 7 0
-48 284 4 0
-49 273 2 1
