DAV_OBMAP v3 cell_size=10
-213 -531 10 0
-213 -532 10 0
-212 -531 11 0
-212 -532 12 0
-212 -531 10 0
-211 -532 11 0
-211 -532 12 0
-211 -532 10 0
-212 -530 12 0
-212 -530 13 0
-212 -530 8 1
-213 -531 7 1
-213 -530 7 1
-213 -529 7 1
-212 -531 7 1
-212 -530 7 1
-212 -529 7 1
-214 -529 11 0
-214 -528 11 0
-214 -528 12 0
-214 -528 10 0
-215 -530 11 0
-215 -529 11 0
-215 -529 12 0
-215 -529 10 0
-216 -530 11 0
-216 -530 12 0
-216 -530 10 0
-215 -531 11 0
-215 -532 11 0
-215 -531 12 0
-215 -532 10 0
-214 -531 11 0
-214 -532 11 0
-214 -532 12 0
-214 -532 10 0
-213 -531 12 0
-214 -530 13 0
-214 -530 8 1
-215 -531 7 1
-215 -530 7 1
-215 -529 7 1
-214 -531 7 1
-214 -530 7 1
-214 -529 7 1
-214 -529 12 0
-214 -529 10 0
-216 -529 11 0
-216 -528 11 0
-216 -528 12 0
-216 -528 10 0
-217 -529 11 0
-217 -529 12 0
-217 -529 10 0
-217 -530 11 0
-218 -530 11 0
-217 -530 12 0
-218 -530 10 0
-216 -531 11 0
-217 -532 11 0
-217 -531 12 0
-217 -532 10 0
-216 -532 11 0
-216 -532 12 0
-216 -532 10 0
-214 -531 12 0
-216 -530 13 0
-216 -530 8 1
-217 -531 7 1
-217 -530 7 1
-217 -529 7 1
-216 -531 7 1
-216 -530 7 1
-216 -529 7 1
-215 -530 12 0
-215 -530 10 0
-216 -529 12 0
-216 -529 10 0
-217 -528 11 0
-217 -528 12 0
-217 -528 10 0
-218 -529 11 0
-219 -529 11 0
-218 -529 12 0
-218 -529 10 0
-219 -530 11 0
-219 -530 12 0
-219 -530 10 0
-218 -531 11 0
-219 -532 11 0
-218 -531 12 0
-218 -531 10 0
-217 -531 11 0
-217 -532 12 0
-216 -531 12 0
-216 -531 10 0
-217 -530 13 0
-217 -530 8 1
-218 -531 7 1
-218 -530 7 1
-218 -529 7 1
-217 -530 10 0
-246 -529 7 1
-246 -528 7 1
-245 -530 7 1
-245 -529 7 1
-245 -528 7 1
-247 -528 11 0
-247 -527 11 0
-247 -528 12 0
-247 -527 12 0
-248 -527 11 0
-248 -527 12 0
-248 -529 11 0
-249 -529 11 0
-248 -529 12 0
-249 -529 12 0
-248 -530 11 0
-248 -530 12 0
-247 -530 11 0
-247 -531 11 0
-247 -530 12 0
-247 -529 13 0
-247 -529 9 1
-248 -530 8 1
-248 -529 8 1
-248 -528 8 1
-247 -530 8 1
-247 -529 8 1
-247 -528 8 1
-246 -530 8 1
-246 -529 8 1
-246 -528 8 1
-248 -528 11 0
-248 -528 12 0
-249 -528 11 0
-250 -527 11 0
-249 -528 12 0
-250 -527 12 0
-250 -529 11 0
-250 -529 12 0
-250 -530 11 0
-250 -530 12 0
-248 -531 11 0
-248 -529 13 0
-248 -529 9 1
-249 -530 8 1
-249 -529 8 1
-249 -528 8 1
-249 -527 12 0
-250 -526 11 0
-250 -528 12 0
-250 -528 11 0
-201 -532 10 0
-201 -532 11 0
-201 -530 12 0
-201 -530 8 1
-202 -531 7 1
-202 -530 7 1
-202 -529 7 1
-201 -531 7 1
-201 -530 7 1
-201 -529 7 1
-250 -528 13 0
-250 -528 9 1
-250 -529 8 1
-250 -528 8 1
-250 -527 8 1
-249 -527 8 1
-203 -529 10 0
-203 -528 10 0
-203 -529 11 0
-203 -528 11 0
-204 -529 10 0
-204 -529 11 0
-204 -530 10 0
-205 -530 10 0
-204 -530 11 0
-203 -531 10 0
-204 -532 10 0
-203 -531 11 0
-204 -532 11 0
-203 -532 10 0
-203 -532 11 0
-202 -531 10 0
-203 -530 12 0
-203 -530 8 1
-204 -531 7 1
-204 -530 7 1
-204 -529 7 1
-203 -531 7 1
-203 -530 7 1
-203 -529 7 1
-204 -528 10 0
-206 -529 10 0
-205 -530 11 0
-206 -529 11 0
-206 -530 10 0
-206 -530 11 0
-205 -531 10 0
-206 -532 10 0
-205 -531 11 0
-206 -532 11 0
-204 -531 10 0
-204 -531 11 0
-204 -530 12 0
